Etiqueta,Frame,Box
coche2,89,"(427.24867724867727, 172.1005291005291, 44.07936507936508, 48.0)"
coche2,90,"(427.81481481481484, 172.07407407407408, 44.111111111111114, 48.0)"
coche2,91,"(428.3809523809524, 172.04761904761904, 44.142857142857146, 48.0)"
coche2,92,"(428.9470899470899, 172.02116402116403, 44.17460317460318, 48.0)"
coche2,93,"(429.5132275132275, 171.994708994709, 44.20634920634921, 48.0)"
coche2,94,"(430.07936507936506, 171.96825396825398, 44.23809523809524, 48.0)"
coche2,95,"(430.64550264550263, 171.94179894179894, 44.26984126984127, 48.0)"
coche2,96,"(431.2116402116402, 171.91534391534393, 44.301587301587304, 48.0)"
coche2,97,"(431.77777777777777, 171.88888888888889, 44.333333333333336, 48.0)"
coche2,98,"(432.34391534391534, 171.86243386243387, 44.36507936507937, 48.0)"
coche2,99,"(432.9100529100529, 171.83597883597884, 44.3968253968254, 48.0)"
coche2,100,"(433.4761904761905, 171.8095238095238, 44.42857142857143, 48.0)"
coche2,101,"(434.04232804232805, 171.78306878306879, 44.46031746031746, 48.0)"
coche2,102,"(434.6084656084656, 171.75661375661375, 44.492063492063494, 48.0)"
coche2,103,"(435.1746031746032, 171.73015873015873, 44.523809523809526, 48.0)"
coche2,104,"(435.74074074074076, 171.7037037037037, 44.55555555555556, 48.0)"
coche2,105,"(436.30687830687833, 171.67724867724868, 44.58730158730159, 48.0)"
coche2,106,"(436.8730158730159, 171.65079365079364, 44.61904761904762, 48.0)"
coche2,107,"(437.4391534391534, 171.62433862433863, 44.65079365079365, 48.0)"
coche2,108,"(438.005291005291, 171.5978835978836, 44.682539682539684, 48.0)"
coche2,109,"(438.57142857142856, 171.57142857142858, 44.714285714285715, 48.0)"
coche2,110,"(439.1375661375661, 171.54497354497354, 44.74603174603175, 48.0)"
coche2,111,"(439.7037037037037, 171.5185185185185, 44.77777777777778, 48.0)"
coche2,112,"(440.26984126984127, 171.4920634920635, 44.80952380952381, 48.0)"
coche2,113,"(440.83597883597884, 171.46560846560845, 44.84126984126984, 48.0)"
coche2,114,"(441.4021164021164, 171.43915343915344, 44.87301587301587, 48.0)"
coche2,115,"(441.968253968254, 171.4126984126984, 44.904761904761905, 48.0)"
coche2,116,"(442.53439153439155, 171.3862433862434, 44.93650793650794, 48.0)"
coche2,117,"(443.1005291005291, 171.35978835978835, 44.96825396825397, 48.0)"
coche2,118,"(443.6666666666667, 171.33333333333334, 45.0, 48.0)"
coche2,119,"(444.23280423280426, 171.3068783068783, 45.03174603174603, 48.0)"
coche2,120,"(444.79894179894177, 171.2804232804233, 45.06349206349206, 48.0)"
coche2,121,"(445.3650793650794, 171.25396825396825, 45.095238095238095, 48.0)"
coche2,122,"(445.9312169312169, 171.2275132275132, 45.12698412698413, 48.0)"
coche2,123,"(446.4973544973545, 171.2010582010582, 45.15873015873016, 48.0)"
coche2,124,"(447.06349206349205, 171.17460317460316, 45.19047619047619, 48.0)"
coche2,125,"(447.6296296296296, 171.14814814814815, 45.22222222222222, 48.0)"
coche2,126,"(448.1957671957672, 171.1216931216931, 45.25396825396825, 48.0)"
coche2,127,"(448.76190476190476, 171.0952380952381, 45.285714285714285, 48.0)"
coche2,128,"(449.32804232804233, 171.06878306878306, 45.317460317460316, 48.0)"
coche2,129,"(449.8941798941799, 171.04232804232805, 45.34920634920635, 48.0)"
coche2,130,"(450.46031746031747, 171.015873015873, 45.38095238095238, 48.0)"
coche2,131,"(451.02645502645504, 170.989417989418, 45.41269841269841, 48.0)"
coche2,132,"(451.5925925925926, 170.96296296296296, 45.44444444444444, 48.0)"
coche2,133,"(452.1587301587302, 170.93650793650795, 45.476190476190474, 48.0)"
coche2,134,"(452.72486772486775, 170.9100529100529, 45.507936507936506, 48.0)"
coche2,135,"(453.29100529100526, 170.88359788359787, 45.53968253968254, 48.0)"
coche2,136,"(453.8571428571429, 170.85714285714286, 45.57142857142857, 48.0)"
coche2,137,"(454.4232804232804, 170.83068783068782, 45.6031746031746, 48.0)"
coche2,138,"(454.989417989418, 170.8042328042328, 45.63492063492063, 48.0)"
coche2,139,"(455.55555555555554, 170.77777777777777, 45.666666666666664, 48.0)"
coche2,140,"(456.1216931216931, 170.75132275132276, 45.698412698412696, 48.0)"
coche2,141,"(456.6878306878307, 170.72486772486772, 45.73015873015873, 48.0)"
coche2,142,"(457.25396825396825, 170.6984126984127, 45.76190476190476, 48.0)"
coche2,143,"(457.8201058201058, 170.67195767195767, 45.79365079365079, 48.0)"
coche2,144,"(458.3862433862434, 170.64550264550263, 45.82539682539682, 48.0)"
coche2,145,"(458.95238095238096, 170.61904761904762, 45.857142857142854, 48.0)"
coche2,146,"(459.51851851851853, 170.59259259259258, 45.888888888888886, 48.0)"
coche2,147,"(460.0846560846561, 170.56613756613757, 45.92063492063492, 48.0)"
coche2,148,"(460.6507936507937, 170.53968253968253, 45.95238095238095, 48.0)"
coche2,149,"(461.21693121693124, 170.51322751322752, 45.98412698412699, 48.0)"
coche2,150,"(461.78306878306876, 170.48677248677248, 46.01587301587301, 48.0)"
coche2,151,"(462.3492063492064, 170.46031746031747, 46.04761904761905, 48.0)"
coche2,152,"(462.9153439153439, 170.43386243386243, 46.079365079365076, 48.0)"
coche2,153,"(463.48148148148147, 170.40740740740742, 46.111111111111114, 48.0)"
coche2,154,"(464.04761904761904, 170.38095238095238, 46.142857142857146, 48.0)"
coche2,155,"(464.6137566137566, 170.35449735449737, 46.17460317460318, 48.0)"
coche2,156,"(465.1798941798942, 170.32804232804233, 46.20634920634921, 48.0)"
coche2,157,"(465.74603174603175, 170.3015873015873, 46.23809523809524, 48.0)"
coche2,158,"(466.3121693121693, 170.27513227513228, 46.26984126984127, 48.0)"
coche2,159,"(466.8783068783069, 170.24867724867724, 46.301587301587304, 48.0)"
coche2,160,"(467.44444444444446, 170.22222222222223, 46.333333333333336, 48.0)"
coche2,161,"(468.010582010582, 170.1957671957672, 46.36507936507937, 48.0)"
coche2,162,"(468.5767195767196, 170.16931216931218, 46.3968253968254, 48.0)"
coche2,163,"(469.14285714285717, 170.14285714285714, 46.42857142857143, 48.0)"
coche2,164,"(469.70899470899474, 170.11640211640213, 46.46031746031746, 48.0)"
coche2,165,"(470.27513227513225, 170.0899470899471, 46.492063492063494, 48.0)"
coche2,166,"(470.8412698412698, 170.06349206349208, 46.523809523809526, 48.0)"
coche2,167,"(471.4074074074074, 170.03703703703704, 46.55555555555556, 48.0)"
coche2,168,"(471.97354497354496, 170.010582010582, 46.58730158730159, 48.0)"
coche2,169,"(472.53968253968253, 169.984126984127, 46.61904761904762, 48.0)"
coche2,170,"(473.1058201058201, 169.95767195767195, 46.65079365079365, 48.0)"
coche2,171,"(473.67195767195767, 169.93121693121694, 46.682539682539684, 48.0)"
coche2,172,"(474.23809523809524, 169.9047619047619, 46.714285714285715, 48.0)"
coche2,173,"(474.8042328042328, 169.8783068783069, 46.74603174603175, 48.0)"
coche2,174,"(475.3703703703704, 169.85185185185185, 46.77777777777778, 48.0)"
coche2,175,"(475.93650793650795, 169.82539682539684, 46.80952380952381, 48.0)"
coche2,176,"(476.5026455026455, 169.7989417989418, 46.84126984126984, 48.0)"
coche2,177,"(477.0687830687831, 169.7724867724868, 46.87301587301587, 48.0)"
coche2,178,"(477.6349206349206, 169.74603174603175, 46.904761904761905, 48.0)"
coche2,179,"(478.20105820105823, 169.7195767195767, 46.93650793650794, 48.0)"
coche2,180,"(478.76719576719574, 169.6931216931217, 46.96825396825397, 48.0)"
coche2,181,"(479.33333333333337, 169.66666666666666, 47.0, 48.0)"
coche2,182,"(479.8994708994709, 169.64021164021165, 47.03174603174603, 48.0)"
coche2,183,"(480.46560846560845, 169.6137566137566, 47.06349206349206, 48.0)"
coche2,184,"(481.031746031746, 169.5873015873016, 47.095238095238095, 48.0)"
coche2,185,"(481.5978835978836, 169.56084656084656, 47.12698412698413, 48.0)"
coche2,186,"(482.16402116402116, 169.53439153439155, 47.15873015873016, 48.0)"
coche2,187,"(482.73015873015873, 169.5079365079365, 47.19047619047619, 48.0)"
coche2,188,"(483.2962962962963, 169.4814814814815, 47.22222222222222, 48.0)"
coche2,189,"(483.8624338624339, 169.45502645502646, 47.25396825396825, 48.0)"
coche2,190,"(484.42857142857144, 169.42857142857142, 47.285714285714285, 48.0)"
coche2,191,"(484.994708994709, 169.4021164021164, 47.317460317460316, 48.0)"
coche2,192,"(485.5608465608466, 169.37566137566137, 47.34920634920635, 48.0)"
coche2,193,"(486.1269841269841, 169.34920634920636, 47.38095238095238, 48.0)"
coche2,194,"(486.6931216931217, 169.32275132275132, 47.41269841269841, 48.0)"
coche2,195,"(487.25925925925924, 169.2962962962963, 47.44444444444444, 48.0)"
coche2,196,"(487.8253968253968, 169.26984126984127, 47.476190476190474, 48.0)"
coche2,197,"(488.3915343915344, 169.24338624338625, 47.507936507936506, 48.0)"
coche2,198,"(488.95767195767195, 169.21693121693121, 47.53968253968254, 48.0)"
coche2,199,"(489.5238095238095, 169.1904761904762, 47.57142857142857, 48.0)"
coche2,200,"(490.0899470899471, 169.16402116402116, 47.6031746031746, 48.0)"
coche2,201,"(490.65608465608466, 169.13756613756613, 47.63492063492063, 48.0)"
coche2,202,"(491.22222222222223, 169.11111111111111, 47.666666666666664, 48.0)"
coche2,203,"(491.7883597883598, 169.08465608465607, 47.698412698412696, 48.0)"
coche2,204,"(492.35449735449737, 169.05820105820106, 47.73015873015873, 48.0)"
coche2,205,"(492.92063492063494, 169.03174603174602, 47.76190476190476, 48.0)"
coche2,206,"(493.4867724867725, 169.005291005291, 47.79365079365079, 48.0)"
coche2,207,"(494.0529100529101, 168.97883597883597, 47.82539682539682, 48.0)"
coche2,208,"(494.6190476190476, 168.95238095238096, 47.857142857142854, 48.0)"
coche2,209,"(495.1851851851852, 168.92592592592592, 47.888888888888886, 48.0)"
coche2,210,"(495.75132275132273, 168.8994708994709, 47.92063492063492, 48.0)"
coche2,211,"(496.3174603174603, 168.87301587301587, 47.95238095238095, 48.0)"
coche2,212,"(496.8835978835979, 168.84656084656083, 47.98412698412699, 48.0)"
coche2,213,"(497.44973544973544, 168.82010582010582, 48.01587301587301, 48.0)"
coche2,214,"(498.015873015873, 168.79365079365078, 48.04761904761905, 48.0)"
coche2,215,"(498.5820105820106, 168.76719576719577, 48.079365079365076, 48.0)"
coche2,216,"(499.14814814814815, 168.74074074074073, 48.111111111111114, 48.0)"
coche2,217,"(499.7142857142857, 168.71428571428572, 48.14285714285714, 48.0)"
coche2,218,"(500.2804232804233, 168.68783068783068, 48.17460317460318, 48.0)"
coche2,219,"(500.84656084656086, 168.66137566137567, 48.2063492063492, 48.0)"
coche2,220,"(501.41269841269843, 168.63492063492063, 48.23809523809524, 48.0)"
coche2,221,"(501.978835978836, 168.60846560846562, 48.26984126984127, 48.0)"
coche2,222,"(502.5449735449736, 168.58201058201058, 48.301587301587304, 48.0)"
coche2,223,"(503.1111111111111, 168.55555555555554, 48.333333333333336, 48.0)"
coche2,224,"(503.6772486772487, 168.52910052910053, 48.36507936507937, 48.0)"
coche2,225,"(504.2433862433862, 168.5026455026455, 48.3968253968254, 48.0)"
coche2,226,"(504.8095238095238, 168.47619047619048, 48.42857142857143, 48.0)"
coche2,227,"(505.37566137566137, 168.44973544973544, 48.46031746031746, 48.0)"
coche2,228,"(505.94179894179894, 168.42328042328043, 48.492063492063494, 48.0)"
coche2,229,"(506.5079365079365, 168.3968253968254, 48.523809523809526, 48.0)"
coche2,230,"(507.0740740740741, 168.37037037037038, 48.55555555555556, 48.0)"
coche2,231,"(507.64021164021165, 168.34391534391534, 48.58730158730159, 48.0)"
coche2,232,"(508.2063492063492, 168.31746031746033, 48.61904761904762, 48.0)"
coche2,233,"(508.7724867724868, 168.2910052910053, 48.65079365079365, 48.0)"
coche2,234,"(509.33862433862436, 168.26455026455025, 48.682539682539684, 48.0)"
coche2,235,"(509.9047619047619, 168.23809523809524, 48.714285714285715, 48.0)"
coche2,236,"(510.4708994708995, 168.2116402116402, 48.74603174603175, 48.0)"
coche2,237,"(511.03703703703707, 168.1851851851852, 48.77777777777778, 48.0)"
coche2,238,"(511.6031746031746, 168.15873015873015, 48.80952380952381, 48.0)"
coche2,239,"(512.1693121693122, 168.13227513227514, 48.84126984126984, 48.0)"
coche2,240,"(512.7354497354497, 168.1058201058201, 48.87301587301587, 48.0)"
coche2,241,"(513.3015873015873, 168.0793650793651, 48.904761904761905, 48.0)"
coche2,242,"(513.8677248677249, 168.05291005291005, 48.93650793650794, 48.0)"
coche2,243,"(514.4338624338625, 168.02645502645504, 48.96825396825397, 48.0)"
coche2,299,"(546.1375661375662, 166.54497354497354, 50.74603174603175, 48.0)"
coche1,55,"(322.0, 166.0, 81.0, 81.0)"
coche1,56,"(321.8993288590604, 165.9961649089166, 80.98945349952061, 80.9980824544583)"
coche1,57,"(321.7986577181208, 165.99232981783317, 80.97890699904123, 80.99616490891658)"
coche1,58,"(321.6979865771812, 165.98849472674976, 80.96836049856184, 80.99424736337488)"
coche1,59,"(321.5973154362416, 165.98465963566636, 80.95781399808246, 80.99232981783318)"
coche1,60,"(321.496644295302, 165.98082454458293, 80.94726749760306, 80.99041227229147)"
coche1,61,"(321.3959731543624, 165.97698945349953, 80.93672099712369, 80.98849472674976)"
coche1,62,"(321.2953020134228, 165.9731543624161, 80.9261744966443, 80.98657718120805)"
coche1,63,"(321.19463087248323, 165.9693192713327, 80.91562799616491, 80.98465963566635)"
coche1,64,"(321.09395973154363, 165.9654841802493, 80.90508149568552, 80.98274209012465)"
coche1,65,"(320.99328859060404, 165.96164908916586, 80.89453499520613, 80.98082454458293)"
coche1,66,"(320.89261744966444, 165.95781399808246, 80.88398849472675, 80.97890699904123)"
coche1,67,"(320.79194630872485, 165.95397890699905, 80.87344199424736, 80.97698945349953)"
coche1,68,"(320.69127516778525, 165.95014381591562, 80.86289549376798, 80.97507190795781)"
coche1,69,"(320.59060402684565, 165.94630872483222, 80.85234899328859, 80.97315436241611)"
coche1,70,"(320.48993288590606, 165.9424736337488, 80.84180249280921, 80.9712368168744)"
coche1,71,"(320.38926174496646, 165.9386385426654, 80.83125599232982, 80.9693192713327)"
coche1,72,"(320.28859060402687, 165.93480345158198, 80.82070949185044, 80.96740172579099)"
coche1,73,"(320.18791946308727, 165.93096836049855, 80.81016299137104, 80.96548418024928)"
coche1,74,"(320.0872483221477, 165.92713326941515, 80.79961649089167, 80.96356663470758)"
coche1,75,"(319.9865771812081, 165.92329817833175, 80.78906999041227, 80.96164908916587)"
coche1,76,"(319.8859060402685, 165.91946308724832, 80.77852348993288, 80.95973154362416)"
coche1,77,"(319.7852348993289, 165.91562799616491, 80.7679769894535, 80.95781399808246)"
coche1,78,"(319.6845637583893, 165.91179290508148, 80.75743048897411, 80.95589645254074)"
coche1,79,"(319.5838926174497, 165.90795781399808, 80.74688398849473, 80.95397890699904)"
coche1,80,"(319.48322147651004, 165.90412272291468, 80.73633748801534, 80.95206136145734)"
coche1,81,"(319.38255033557044, 165.90028763183125, 80.72579098753596, 80.95014381591562)"
coche1,82,"(319.28187919463085, 165.89645254074784, 80.71524448705657, 80.94822627037392)"
coche1,83,"(319.18120805369125, 165.89261744966444, 80.70469798657719, 80.94630872483222)"
coche1,84,"(319.08053691275165, 165.888782358581, 80.6941514860978, 80.9443911792905)"
coche1,85,"(318.97986577181206, 165.8849472674976, 80.6836049856184, 80.9424736337488)"
coche1,86,"(318.87919463087246, 165.88111217641418, 80.67305848513902, 80.94055608820709)"
coche1,87,"(318.77852348993287, 165.87727708533077, 80.66251198465963, 80.93863854266539)"
coche1,88,"(318.67785234899327, 165.87344199424737, 80.65196548418025, 80.93672099712369)"
coche1,89,"(318.5771812080537, 165.86960690316394, 80.64141898370086, 80.93480345158197)"
coche1,90,"(318.4765100671141, 165.86577181208054, 80.63087248322148, 80.93288590604027)"
coche1,91,"(318.3758389261745, 165.86193672099714, 80.62032598274209, 80.93096836049857)"
coche1,92,"(318.2751677852349, 165.8581016299137, 80.60977948226271, 80.92905081495685)"
coche1,93,"(318.1744966442953, 165.8542665388303, 80.59923298178332, 80.92713326941515)"
coche1,94,"(318.0738255033557, 165.85043144774687, 80.58868648130394, 80.92521572387344)"
coche1,95,"(317.9731543624161, 165.84659635666347, 80.57813998082455, 80.92329817833173)"
coche1,96,"(317.8724832214765, 165.84276126558007, 80.56759348034515, 80.92138063279003)"
coche1,97,"(317.7718120805369, 165.83892617449663, 80.55704697986577, 80.91946308724832)"
coche1,98,"(317.6711409395973, 165.83509108341323, 80.54650047938638, 80.91754554170662)"
coche1,99,"(317.5704697986577, 165.83125599232983, 80.535953978907, 80.91562799616491)"
coche1,100,"(317.4697986577181, 165.8274209012464, 80.52540747842761, 80.9137104506232)"
coche1,101,"(317.3691275167785, 165.823585810163, 80.51486097794823, 80.9117929050815)"
coche1,102,"(317.2684563758389, 165.81975071907956, 80.50431447746884, 80.90987535953978)"
coche1,103,"(317.1677852348993, 165.81591562799616, 80.49376797698946, 80.90795781399808)"
coche1,104,"(317.06711409395973, 165.81208053691276, 80.48322147651007, 80.90604026845638)"
coche1,105,"(316.96644295302013, 165.80824544582933, 80.47267497603067, 80.90412272291466)"
coche1,106,"(316.86577181208054, 165.80441035474593, 80.4621284755513, 80.90220517737296)"
coche1,107,"(316.76510067114094, 165.80057526366252, 80.4515819750719, 80.90028763183126)"
coche1,108,"(316.66442953020135, 165.7967401725791, 80.44103547459252, 80.89837008628955)"
coche1,109,"(316.56375838926175, 165.7929050814957, 80.43048897411313, 80.89645254074784)"
coche1,110,"(316.46308724832215, 165.78906999041226, 80.41994247363375, 80.89453499520613)"
coche1,111,"(316.36241610738256, 165.78523489932886, 80.40939597315436, 80.89261744966443)"
coche1,112,"(316.26174496644296, 165.78139980824545, 80.39884947267498, 80.89069990412273)"
coche1,113,"(316.16107382550337, 165.77756471716202, 80.38830297219559, 80.88878235858101)"
coche1,114,"(316.06040268456377, 165.77372962607862, 80.3777564717162, 80.88686481303931)"
coche1,115,"(315.9597315436242, 165.76989453499522, 80.36720997123682, 80.88494726749761)"
coche1,116,"(315.8590604026846, 165.7660594439118, 80.35666347075743, 80.8830297219559)"
coche1,117,"(315.758389261745, 165.76222435282838, 80.34611697027805, 80.88111217641419)"
coche1,118,"(315.6577181208054, 165.75838926174498, 80.33557046979865, 80.87919463087249)"
coche1,119,"(315.5570469798658, 165.75455417066155, 80.32502396931928, 80.87727708533077)"
coche1,120,"(315.4563758389262, 165.75071907957815, 80.31447746883988, 80.87535953978907)"
coche1,121,"(315.3557046979866, 165.74688398849472, 80.3039309683605, 80.87344199424736)"
coche1,122,"(315.255033557047, 165.7430488974113, 80.29338446788111, 80.87152444870566)"
coche1,123,"(315.1543624161074, 165.7392138063279, 80.28283796740173, 80.86960690316396)"
coche1,124,"(315.0536912751678, 165.73537871524448, 80.27229146692234, 80.86768935762224)"
coche1,125,"(314.9530201342282, 165.73154362416108, 80.26174496644295, 80.86577181208054)"
coche1,126,"(314.8523489932886, 165.72770853307767, 80.25119846596357, 80.86385426653884)"
coche1,127,"(314.751677852349, 165.72387344199424, 80.24065196548418, 80.86193672099712)"
coche1,128,"(314.6510067114094, 165.72003835091084, 80.2301054650048, 80.86001917545542)"
coche1,129,"(314.5503355704698, 165.7162032598274, 80.2195589645254, 80.8581016299137)"
coche1,130,"(314.44966442953023, 165.712368168744, 80.20901246404603, 80.856184084372)"
coche1,131,"(314.3489932885906, 165.7085330776606, 80.19846596356663, 80.8542665388303)"
coche1,132,"(314.248322147651, 165.70469798657717, 80.18791946308725, 80.85234899328859)"
coche1,133,"(314.1476510067114, 165.70086289549377, 80.17737296260786, 80.85043144774689)"
coche1,134,"(314.0469798657718, 165.69702780441037, 80.16682646212847, 80.84851390220518)"
coche1,135,"(313.9463087248322, 165.69319271332694, 80.15627996164909, 80.84659635666347)"
coche1,136,"(313.8456375838926, 165.68935762224353, 80.1457334611697, 80.84467881112177)"
coche1,137,"(313.744966442953, 165.6855225311601, 80.13518696069032, 80.84276126558005)"
coche1,138,"(313.6442953020134, 165.6816874400767, 80.12464046021093, 80.84084372003835)"
coche1,139,"(313.5436241610738, 165.6778523489933, 80.11409395973155, 80.83892617449665)"
coche1,140,"(313.4429530201342, 165.67401725790987, 80.10354745925216, 80.83700862895493)"
coche1,141,"(313.3422818791946, 165.67018216682646, 80.09300095877278, 80.83509108341323)"
coche1,142,"(313.241610738255, 165.66634707574306, 80.08245445829338, 80.83317353787153)"
coche1,143,"(313.1409395973154, 165.66251198465963, 80.07190795781399, 80.83125599232982)"
coche1,144,"(313.0402684563758, 165.65867689357623, 80.06136145733461, 80.82933844678811)"
coche1,145,"(312.93959731543623, 165.6548418024928, 80.05081495685522, 80.8274209012464)"
coche1,146,"(312.83892617449663, 165.6510067114094, 80.04026845637584, 80.8255033557047)"
coche1,147,"(312.73825503355704, 165.647171620326, 80.02972195589645, 80.823585810163)"
coche1,148,"(312.63758389261744, 165.64333652924256, 80.01917545541707, 80.82166826462128)"
coche1,149,"(312.53691275167785, 165.63950143815916, 80.00862895493768, 80.81975071907958)"
coche1,150,"(312.43624161073825, 165.63566634707576, 79.9980824544583, 80.81783317353788)"
coche1,151,"(312.33557046979865, 165.63183125599232, 79.9875359539789, 80.81591562799616)"
coche1,152,"(312.23489932885906, 165.62799616490892, 79.97698945349953, 80.81399808245446)"
coche1,153,"(312.13422818791946, 165.6241610738255, 79.96644295302013, 80.81208053691275)"
coche1,154,"(312.03355704697987, 165.6203259827421, 79.95589645254074, 80.81016299137104)"
coche1,155,"(311.93288590604027, 165.61649089165869, 79.94534995206136, 80.80824544582934)"
coche1,156,"(311.8322147651007, 165.61265580057525, 79.93480345158197, 80.80632790028763)"
coche1,157,"(311.7315436241611, 165.60882070949185, 79.92425695110259, 80.80441035474593)"
coche1,158,"(311.6308724832215, 165.60498561840845, 79.9137104506232, 80.80249280920422)"
coche1,159,"(311.5302013422819, 165.60115052732502, 79.90316395014382, 80.80057526366251)"
coche1,160,"(311.4295302013423, 165.59731543624162, 79.89261744966443, 80.79865771812081)"
coche1,161,"(311.3288590604027, 165.59348034515818, 79.88207094918505, 80.79674017257909)"
coche1,162,"(311.2281879194631, 165.58964525407478, 79.87152444870566, 80.79482262703739)"
coche1,163,"(311.1275167785235, 165.58581016299138, 79.86097794822626, 80.79290508149569)"
coche1,164,"(311.0268456375839, 165.58197507190795, 79.85043144774689, 80.79098753595397)"
coche1,165,"(310.9261744966443, 165.57813998082455, 79.83988494726749, 80.78906999041227)"
coche1,166,"(310.8255033557047, 165.57430488974114, 79.82933844678811, 80.78715244487057)"
coche1,167,"(310.7248322147651, 165.5704697986577, 79.81879194630872, 80.78523489932886)"
coche1,168,"(310.6241610738255, 165.5666347075743, 79.80824544582934, 80.78331735378715)"
coche1,169,"(310.5234899328859, 165.56279961649088, 79.79769894534995, 80.78139980824544)"
coche1,170,"(310.4228187919463, 165.55896452540748, 79.78715244487057, 80.77948226270374)"
coche1,171,"(310.32214765100673, 165.55512943432407, 79.77660594439118, 80.77756471716204)"
coche1,172,"(310.22147651006713, 165.55129434324064, 79.76605944391179, 80.77564717162032)"
coche1,173,"(310.12080536912754, 165.54745925215724, 79.75551294343241, 80.77372962607862)"
coche1,174,"(310.02013422818794, 165.54362416107384, 79.74496644295301, 80.77181208053692)"
coche1,175,"(309.91946308724835, 165.5397890699904, 79.73441994247364, 80.7698945349952)"
coche1,176,"(309.81879194630875, 165.535953978907, 79.72387344199424, 80.7679769894535)"
coche1,177,"(309.71812080536915, 165.53211888782357, 79.71332694151486, 80.76605944391179)"
coche1,178,"(309.61744966442956, 165.52828379674017, 79.70278044103547, 80.76414189837008)"
coche1,179,"(309.51677852348996, 165.52444870565677, 79.6922339405561, 80.76222435282838)"
coche1,180,"(309.4161073825503, 165.52061361457334, 79.6816874400767, 80.76030680728667)"
coche1,181,"(309.3154362416107, 165.51677852348993, 79.67114093959732, 80.75838926174497)"
coche1,182,"(309.2147651006711, 165.51294343240653, 79.66059443911793, 80.75647171620327)"
coche1,183,"(309.1140939597315, 165.5091083413231, 79.65004793863854, 80.75455417066155)"
coche1,184,"(309.0134228187919, 165.5052732502397, 79.63950143815916, 80.75263662511985)"
coche1,185,"(308.9127516778523, 165.5014381591563, 79.62895493767977, 80.75071907957815)"
coche1,186,"(308.81208053691273, 165.49760306807286, 79.61840843720039, 80.74880153403643)"
coche1,187,"(308.71140939597313, 165.49376797698946, 79.607861936721, 80.74688398849473)"
coche1,188,"(308.61073825503354, 165.48993288590603, 79.59731543624162, 80.74496644295301)"
coche1,189,"(308.51006711409394, 165.48609779482263, 79.58676893576222, 80.74304889741131)"
coche1,190,"(308.40939597315435, 165.48226270373922, 79.57622243528284, 80.74113135186961)"
coche1,191,"(308.30872483221475, 165.4784276126558, 79.56567593480345, 80.7392138063279)"
coche1,192,"(308.20805369127515, 165.4745925215724, 79.55512943432406, 80.7372962607862)"
